UACE,NAME,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,
05734,"Battlement Mesa, CO"," 6,311 "," 2,571 "," 7,936,842 ", 3.06 ," 56,226 ", 0.02 ," 2,059.44 ",
05788,"Baxley, GA"," 5,354 "," 2,482 "," 16,211,372 ", 6.26 ," 13,308 ", 0.01 , 855.37 ,
05842,"Bayard, NM"," 4,975 "," 2,485 "," 8,065,433 ", 3.11 ," 64,219 ", 0.02 ," 1,597.58 ",
05869,"Bay City, MI"," 68,472 "," 33,037 "," 103,422,422 ", 39.93 ," 2,949,655 ", 1.14 ," 1,714.73 ",
05896,"Bay City, TX"," 19,311 "," 8,683 "," 26,972,308 ", 10.41 ," 41,853 ", 0.02 ," 1,854.32 ",
05923,"Bay Minette, AL"," 7,685 "," 3,118 "," 18,014,152 ", 6.96 ," 143,683 ", 0.06 ," 1,104.91 ",
05935,"Bayside Gardens--Manzanita, OR"," 2,849 "," 3,052 "," 7,720,067 ", 2.98 ," 3,042 ", 0.00 , 955.80 ,
05958,"Bealeton, VA"," 6,608 "," 2,257 "," 11,316,315 ", 4.37 ," 20,856 ", 0.01 ," 1,512.39 ",
05977,"Beardstown, IL"," 6,262 "," 2,505 "," 5,541,099 ", 2.14 ," 96,717 ", 0.04 ," 2,926.95 ",
06004,"Beatrice, NE"," 12,142 "," 6,011 "," 22,510,017 ", 8.69 ," 168,444 ", 0.07 ," 1,397.05 ",
06031,"Beaufort--Port Royal, SC"," 52,515 "," 21,456 "," 113,338,543 ", 43.76 ," 1,418,819 ", 0.55 ," 1,200.06 ",
06058,"Beaumont, TX"," 146,649 "," 65,409 "," 248,896,009 ", 96.10 ," 3,817,936 ", 1.47 ," 1,526.02 ",
06085,"Beaver Dam, KY"," 5,658 "," 2,566 "," 8,811,959 ", 3.40 ," 24,352 ", 0.01 ," 1,662.98 ",
06112,"Beaver Dam, WI"," 18,824 "," 8,633 "," 24,305,017 ", 9.38 ," 71,584 ", 0.03 ," 2,005.92 ",
