NTD ID,Agency Name,City,State,UZA Name,UACE Code,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50024,Western Reserve Transit Authority (WRTA),Youngstown,OH,"Youngstown, OH",97831,195.96,320901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50025,Duluth Transit Authority (DTA),Duluth,MN,"Duluth, MN--WI",24850,66.87,119411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50027,Metro Transit ,Minneapolis,MN,"Minneapolis--St. Paul, MN",57628,1014.79,2914866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50028,St. Cloud Metropolitan Transit Commission,Saint Cloud,MN,"St. Cloud, MN",77338,53.97,117638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50031,Suburban Mobility Authority for Regional Transportation (SMART),Detroit,MI,"Detroit, MI",23824,1284.83,3776890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50119,City of Detroit (DDOT) - Transportation,Detroit,MI,"Detroit, MI",23824,1284.83,3776890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50032,Mass Transportation Authority (MTA),Flint,MI,"Flint, MI",29872,205.46,298964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50033,Interurban Transit Partnership (ITP),Grand Rapids,MI,"Grand Rapids, MI",34300,274.36,605666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50034,City of Jackson Transportation Authority (JATA),Jackson,MI,"Jackson, MI",42157,52.03,84307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50035,Central County Transportation Authority (CCTA),Kalamazoo,MI,"Kalamazoo, MI",43723,109.46,204562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50036,Capital Area Transportation Authority (CATA),Lansing,MI,"Lansing, MI",47719,155.83,318300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50040,Ann Arbor Area Transportation Authority (AAATA),Ann Arbor,MI,"Ann Arbor, MI",02602,143.45,317689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50044,Fort Wayne Public Transportation Corporation (FWPTC),Fort Wayne,IN,"Fort Wayne, IN",31087,163.6,335934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50045,Gary Public Transportation Corporation (GPTC),Gary,IN,"Chicago, IL--IN",16264,2337.89,8671746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50066,Chicago Transit Authority (CTA),Chicago,IL,"Chicago, IL--IN",16264,2337.89,8671746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50104,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,"Chicago, IL--IN",16264,2337.89,8671746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50113,"Pace, the Suburban Bus Division of the Regional Transportation Authority",Arlington Heights,IL,"Chicago, IL--IN",16264,2337.89,8671746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50118,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,"Chicago, IL--IN",16264,2337.89,8671746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50050,Indianapolis and Marion County Public Transportation (IPTC),Indianapolis,IN,"Indianapolis, IN",41212,722.55,1699881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50051,Greater Lafayette Public Transportation Corporation (GLPTC),Lafayette,IN,"Lafayette, IN",46018,68.74,157100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50052,South Bend Public Transportation Corporation,South Bend,IN,"South Bend, IN--MI",83116,147.93,278921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50054,Muncie Indiana Transit System (MITS),Muncie,IN,"Muncie, IN",60625,48.2,84382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50056,Greater Peoria Mass Transit District (GPMTD),Peoria,IL,"Peoria, IL",68509,145.79,259781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50058,Rockford Mass Transit District (RMTD),Rockford,IL,"Rockford, IL",75718,133.81,276443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50060,Champaign-Urbana Mass Transit District (C-U MTD),Urbana,IL,"Champaign, IL",15211,46.52,147452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50061,"City of Decatur, Il (DPTS) - Transportation Services Department",Decatur,IL,"Decatur, IL",22717,55.11,86287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50092,"City of Rochester, Minnesota (RPT) - Public Transit",Rochester,MN,"Rochester, MN",75637,51.59,121587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50110,Bloomington Public Transportation Corporation (BT),Bloomington,IN,"Bloomington, IN",08380,43.04,110103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60006,City of El Paso - Mass Transit Department,El Paso,TX,"El Paso, TX--NM",27253,255.88,854584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60007,Fort Worth Transportation Authority (FWTA),Fort Worth,TX,"Dallas--Fort Worth--Arlington, TX",22042,1746.9,5732354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60056,Dallas Area Rapid Transit (DART),Dallas,TX,"Dallas--Fort Worth--Arlington, TX",22042,1746.9,5732354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60008,"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,"Houston, TX",40429,1752.69,5853575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60009,City of Laredo ,Laredo,TX,"Laredo, TX",47854,64.2,251462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60011,VIA Metropolitan Transit,San Antonio,TX,"San Antonio, TX",78580,613.44,1992689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60017,Central Oklahoma Transportation and Parking Authority (COTPA),Oklahoma City,OK,"Oklahoma City, OK",65080,421.73,982276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60018,Metropolitan Tulsa Transit Authority (MTTA),Tulsa,OK,"Tulsa, OK",88948,338.32,722810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60024,City of Shreveport - Shreveport Area Transit System,Shreveport,LA,"Shreveport, LA",81739,180.84,288052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60038,Lafayette City-Parish Consolidated Government (LTS),Lafayette,LA,"Lafayette, LA",46045,161.2,227316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60051,Corpus Christi Regional Transportation Authority (CCRTA),Corpus Christi,TX,"Corpus Christi, TX",20287,129.27,339066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001,City of Lincoln - Transportation & Utilities,Lincoln,NE,"Lincoln, NE",49933,94.17,291217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002,Transit Authority of Omaha,Omaha,NE,"Omaha, NE--IA",65269,270.81,819508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003,City of Springfield,Springfield,MO,"Springfield, MO",83953,134.33,282651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
